posto,ano,pico,duracao,volume
garibaldi,1969,1478.0,4,498.7
garibaldi,1970,1049.3,7,595.74
garibaldi,1971,1725.3,2,369.04
garibaldi,1972,3306.6,4,1151.54
garibaldi,1973,1995.5,7,898.37
garibaldi,1974,1062.1,1,183.53
garibaldi,1975,2238.4,4,677.39
garibaldi,1976,1625.6,2,361.11
garibaldi,1977,2702.2,2,645.06
garibaldi,1978,535.3,0,0.0
garibaldi,1979,1960.4,6,757.98
garibaldi,1980,2015.6,4,663.29
garibaldi,1981,900.7,1,155.64
garibaldi,1982,2314.2,2,495.72
garibaldi,1983,6319.2,6,3147.37
garibaldi,1984,5477.1,4,1512.15
garibaldi,1985,643.9,1,111.27
garibaldi,1986,887.7,2,216.72
garibaldi,1987,2179.1,3,657.24
garibaldi,1988,1145.4,3,341.18
garibaldi,1989,2288.0,4,803.74
garibaldi,1990,3513.6,9,2241.92
garibaldi,1991,1044.2,3,310.48
garibaldi,1992,3654.0,8,1496.82
garibaldi,1993,1808.6,3,510.66
garibaldi,1994,1505.5,6,673.81
garibaldi,1995,1194.6,6,582.49
garibaldi,1996,1145.6,2,274.92
garibaldi,1997,3590.2,13,1794.48
garibaldi,1998,3450.1,6,1234.73
garibaldi,1999,2767.8,3,783.32
garibaldi,2000,2793.9,5,1007.1
garibaldi,2001,4002.3,4,1112.01
garibaldi,2002,1057.9,3,342.19
garibaldi,2003,1174.8,3,345.3
garibaldi,2004,1318.7,2,286.54
garibaldi,2005,2629.1,6,1033.47
garibaldi,2006,796.4,1,137.62
garibaldi,2007,1608.1,2,367.27
garibaldi,2008,1783.7,14,1756.35
garibaldi,2009,2527.3,2,626.1
garibaldi,2010,2827.0,5,1118.2
garibaldi,2011,3762.8,32,4004.63
garibaldi,2012,1176.5,1,203.3
garibaldi,2013,2698.7,3,829.52
garibaldi,2014,4203.1,4,1217.5
garibaldi,2015,3222.7,29,4302.18
garibaldi,2016,1007.3,1,174.06
garibaldi,2017,3630.9,9,2240.3
garibaldi,2018,1560.4,3,436.21
garibaldi,2019,1798.1,3,493.32
garibaldi,2020,1044.3,3,319.14
garibaldi,2021,1191.9,1,205.96
garibaldi,2022,3985.4,3,979.4
garibaldi,2023,6033.4,46,8201.19
campos_novos,1941,2957.9,2,659.79
campos_novos,1942,2071.2,3,542.29
campos_novos,1943,2493.4,4,800.5
campos_novos,1944,536.2,0,0.0
campos_novos,1945,349.9,0,0.0
campos_novos,1946,1163.2,7,710.1
campos_novos,1947,1130.1,2,269.59
campos_novos,1948,2142.3,2,515.49
campos_novos,1949,700.8,0,0.0
campos_novos,1950,3052.4,3,810.19
campos_novos,1951,1795.9,6,766.98
campos_novos,1952,1140.3,2,295.1
campos_novos,1953,1758.2,10,1118.91
campos_novos,1954,2821.7,7,1381.99
campos_novos,1955,1990.2,6,1018.87
campos_novos,1956,1381.1,9,912.28
campos_novos,1957,2898.9,30,3644.62
campos_novos,1958,1457.6,2,344.1
campos_novos,1959,950.3,1,164.21
campos_novos,1960,1079.5,2,270.52
campos_novos,1961,2105.5,8,969.27
campos_novos,1962,1212.1,2,294.81
campos_novos,1963,1930.4,3,582.86
campos_novos,1964,669.1,0,0.0
campos_novos,1965,3727.3,4,1368.82
campos_novos,1966,1655.5,2,386.21
campos_novos,1967,1933.6,3,580.56
campos_novos,1968,972.1,3,312.14
campos_novos,1969,1592.7,4,526.45
campos_novos,1970,1137.4,7,680.62
campos_novos,1971,1828.3,3,530.18
campos_novos,1972,3557.2,4,1192.29
campos_novos,1973,2123.9,8,1134.65
campos_novos,1974,987.4,2,254.54
campos_novos,1975,2313.4,12,1304.61
campos_novos,1976,1593.6,2,350.08
campos_novos,1977,2798.1,2,638.41
campos_novos,1978,521.3,0,0.0
campos_novos,1979,2079.6,6,793.81
campos_novos,1980,2136.1,3,629.54
campos_novos,1981,889.9,2,230.56
campos_novos,1982,2207.1,2,470.78
campos_novos,1983,6959.9,6,3334.37
campos_novos,1984,5740.1,4,1521.32
campos_novos,1985,704.7,1,121.77
campos_novos,1986,935.9,2,222.94
campos_novos,1987,2402.2,3,685.83
campos_novos,1988,1228.8,2,300.05
campos_novos,1989,2405.0,4,834.33
campos_novos,1990,3726.6,9,2383.38
campos_novos,1991,1100.4,2,266.8
campos_novos,1992,3879.9,7,1502.81
campos_novos,1993,1989.6,4,696.93
campos_novos,1994,1647.3,6,718.57
campos_novos,1995,1311.6,7,742.01
campos_novos,1996,1192.2,2,283.16
campos_novos,1997,3775.5,13,1889.47
campos_novos,1998,3432.0,6,1254.14
campos_novos,1999,3013.9,3,798.55
campos_novos,2000,3013.7,5,1043.49
campos_novos,2001,4155.7,3,1057.11
campos_novos,2002,1139.3,3,360.64
campos_novos,2003,1293.6,4,474.55
campos_novos,2004,1293.1,2,333.3
campos_novos,2005,2903.5,7,1334.5
campos_novos,2006,841.0,2,212.35
campos_novos,2007,1610.3,2,364.27
campos_novos,2008,1845.0,11,1477.54
campos_novos,2009,2693.8,2,635.15
campos_novos,2010,3030.0,5,1171.44
campos_novos,2011,3828.3,32,4320.07
campos_novos,2012,1054.2,1,182.17
campos_novos,2013,2919.1,3,857.35
campos_novos,2014,4397.0,3,1169.02
campos_novos,2015,3539.9,28,4628.03
campos_novos,2016,1053.8,2,268.09
campos_novos,2017,3648.7,9,2370.31
campos_novos,2018,1614.0,3,443.54
campos_novos,2019,1888.3,2,445.47
campos_novos,2020,1117.9,2,275.03
campos_novos,2021,1153.7,1,199.36
campos_novos,2022,4018.5,2,899.51
campos_novos,2023,5898.5,46,8867.48
barra_grande,1941,2309.4,2,502.62
barra_grande,1942,890.6,0,0.0
barra_grande,1943,1773.1,3,538.37
barra_grande,1944,592.8,0,0.0
barra_grande,1945,487.2,0,0.0
barra_grande,1946,1794.0,1,310.0
barra_grande,1947,991.9,0,0.0
barra_grande,1948,2581.8,2,609.31
barra_grande,1949,1004.6,1,173.59
barra_grande,1950,2669.8,2,565.46
barra_grande,1951,2223.7,5,871.14
barra_grande,1952,1451.7,1,250.85
barra_grande,1953,1875.3,2,414.04
barra_grande,1954,2646.9,5,912.17
barra_grande,1955,2090.4,3,616.57
barra_grande,1956,1440.0,2,336.77
barra_grande,1957,2682.4,2,616.45
barra_grande,1958,1281.3,1,221.41
barra_grande,1959,1545.3,2,378.39
barra_grande,1960,1750.4,1,302.47
barra_grande,1961,3135.9,3,895.42
barra_grande,1962,1537.2,2,363.6
barra_grande,1963,2805.1,3,780.3
barra_grande,1964,1035.2,1,178.88
barra_grande,1965,7418.2,3,1762.05
barra_grande,1966,1846.3,2,442.3
barra_grande,1967,2654.4,3,751.22
barra_grande,1968,1214.6,1,209.88
barra_grande,1969,1495.1,2,346.83
barra_grande,1970,1527.9,2,368.3
barra_grande,1971,2004.2,1,346.33
barra_grande,1972,3114.2,3,996.05
barra_grande,1973,1860.5,1,321.49
barra_grande,1974,1106.2,1,191.15
barra_grande,1975,2590.5,2,600.54
barra_grande,1976,1961.0,2,472.31
barra_grande,1977,4097.4,2,871.97
barra_grande,1978,1101.3,1,190.3
barra_grande,1979,1637.7,2,412.89
barra_grande,1980,2037.5,2,439.92
barra_grande,1981,1415.4,1,244.58
barra_grande,1982,2717.1,2,662.6
barra_grande,1983,5115.3,3,1315.5
barra_grande,1984,4774.0,3,1280.73
barra_grande,1985,886.4,0,0.0
barra_grande,1986,1176.4,1,203.28
barra_grande,1987,2581.4,2,603.71
barra_grande,1988,1089.8,1,188.32
barra_grande,1989,4038.1,3,1249.08
barra_grande,1990,3132.9,8,1798.76
barra_grande,1991,1410.2,1,243.68
barra_grande,1992,4203.6,3,1108.57
barra_grande,1993,1755.1,10,1190.81
barra_grande,1994,1209.7,2,310.09
barra_grande,1995,1183.6,1,204.53
barra_grande,1996,1650.7,1,285.24
